time_relative,odom_x,odom_y,odom_z,odom_vx,odom_vy,odom_vz,odom_qw,odom_qx,odom_qy,odom_qz,cam0_x,cam0_y,cam0_z,cam0_qw,cam0_qx,cam0_qy,cam0_qz,
2.834080,1.522077,-1.095616,2.035117,0.869412,-0.650199,0.644066,0.999479,-0.002415,-0.000205,-0.032193,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
2.934184,1.609714,-1.160899,2.100864,0.865410,-0.641945,0.657519,0.999408,-0.004073,-0.001797,-0.034125,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
3.034150,1.695088,-1.223925,2.166534,0.859317,-0.631113,0.668851,0.999337,-0.004695,-0.001869,-0.036064,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
3.134134,1.781628,-1.287115,2.234595,0.854697,-0.620334,0.678581,0.999265,-0.004328,-0.000906,-0.038082,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
3.234145,1.866050,-1.348012,2.302150,0.850581,-0.609725,0.685101,0.999183,-0.004812,-0.001681,-0.040085,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
3.334185,1.950729,-1.408428,2.370634,0.841648,-0.598847,0.683680,0.999086,-0.004003,-0.005548,-0.042200,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
3.434087,2.035045,-1.468449,2.439442,0.828114,-0.590019,0.678272,0.998988,-0.003052,-0.005304,-0.044551,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
3.534117,2.116483,-1.526472,2.506189,0.817458,-0.582145,0.669570,0.998883,-0.003165,-0.004305,-0.046947,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
3.633981,2.197694,-1.584282,2.572585,0.806534,-0.574026,0.658064,0.998761,-0.003283,-0.004927,-0.049414,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
3.734205,2.278607,-1.641802,2.638408,0.796157,-0.564544,0.645256,0.998630,-0.004648,-0.003718,-0.051995,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
3.834191,2.357834,-1.697668,2.702259,0.788742,-0.552340,0.631547,0.998483,-0.006100,-0.002726,-0.054654,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
